Rank, Player, Pos,Team,Bye,Pos Rk
1,Antonio Brown,WR,PIT,8,WR1
2,Odell Beckham Jr.,WR,NYG,8,WR2
3,Adrian Peterson,RB,MIN,6,RB1
4,Julio Jones,WR,ATL,11,WR3
5,Todd Gurley,RB,LA,8,RB2
6,Ezekiel Elliott,RB,DAL,7,RB3
7,DeAndre Hopkins,WR,HOU,9,WR4
8,David Johnson,RB,ARI,9,RB4
9,Devonta Freeman,RB,ATL,11,RB5
10,A.J. Green,WR,CIN,9,WR5
11,Rob Gronkowski,TE,NE,9,TE1
12,Le'Veon Bell,RB,PIT,8,RB6
13,Allen Robinson,WR,JAC,5,WR6
14,Lamar Miller,RB,HOU,9,RB7
15,Dez Bryant,WR,DAL,7,WR7
16,Doug Martin,RB,TB,6,RB8
17,Jordy Nelson,WR,GB,4,WR8
18,Mark Ingram,RB,NO,5,RB9
19,Brandon Marshall,WR,NYJ,11,WR9
20,Eddie Lacy,RB,GB,4,RB10
21,Alshon Jeffery,WR,CHI,9,WR10
22,LeSean McCoy,RB,BUF,10,RB11
23,Mike Evans,WR,TB,6,WR11
24,Sammy Watkins,WR,BUF,10,WR12
25,Jonathan Stewart,RB,CAR,7,RB12
26,Brandin Cooks,WR,NO,5,WR13
27,Carlos Hyde,RB,SF,8,RB13
28,Jordan Reed,TE,WAS,9,TE2
29,Amari Cooper,WR,OAK,10,WR14
30,Demaryius Thomas,WR,DEN,11,WR15
31,Keenan Allen,WR,SD,11,WR16
32,C.J. Anderson,RB,DEN,11,RB14
33,Jamaal Charles,RB,KC,5,RB15
34,Thomas Rawls,RB,SEA,5,RB16
35,Cam Newton,QB,CAR,7,QB1
36,T.Y. Hilton,WR,IND,10,WR17
37,Julian Edelman,WR,NE,9,WR18
38,Doug Baldwin,WR,SEA,5,WR19
39,Jarvis Landry,WR,MIA,8,WR20
40,Matt Forte,RB,NYJ,11,RB17
41,Jeremy Hill,RB,CIN,9,RB18
42,Jeremy Maclin,WR,KC,5,WR21
